repository,project,issues,events,median_duration_days,censored,censoring_rate
Apache,FLEX,35390,31564,132.3002488425926,3826,0.10810963549025149
Apache,HIVE,25731,18516,26.688252314814815,7215,0.28040107263611985
Jira,CONFSERVER,43910,37290,443.20989583333335,6620,0.1507629241630608
Jira,JRACLOUD,27916,22142,805.7390393518518,5774,0.20683479008453934
Jira,JRASERVER,47225,38678,426.4907060185185,8547,0.1809846479618846
MariaDB,MDEV,22437,16064,103.30835648148148,6373,0.28403975576057405
Mojang,MC,213845,205547,0.17739583333333334,8298,0.038803806495358785
Mojang,MCPE,144778,140317,1.1220543981481481,4461,0.030812692536158807
MongoDB,SERVER,58928,52972,22.137760416666666,5956,0.10107249524843877
Qt,QTBUG,97172,77520,110.85622685185186,19652,0.20223932820153953
Sakai,SAK,43351,39086,32.21811342592593,4265,0.09838296694424581
Sonatype,OSSRH,74960,72193,0.2917476851851852,2767,0.03691302027748132
