feature,coef,hazard_ratio,abs_log_hr
cat__initial_issue_type_Public Security Vulnerability,1.429042257000486,4.174698987914573,1.429042257000486
cat__initial_issue_type_Suggestion,-1.3619730496244964,0.2561548717561155,1.3619730496244964
cat__initial_issue_type_Story Task,-1.2851510190593476,0.27660880727565773,1.2851510190593476
cat__initial_issue_type_Support Request,1.274288124465727,3.576154726691614,1.274288124465727
cat__initial_issue_type_Request,-1.2084615496219224,0.29865639421927476,1.2084615496219224
cat__initial_issue_type_Wish,-0.932503520200463,0.3935671726113935,0.932503520200463
cat__initial_issue_type_Question,0.7268772680720467,2.0686107942115024,0.7268772680720466
cat__initial_issue_type_Build Failure,0.6954004609910873,2.004511641950641,0.6954004609910873
cat__initial_priority_Unknown,0.684451006337156,1.9826830562647282,0.684451006337156
cat__initial_issue_type_Third-party issue,0.6205675199665928,1.8599833200439493,0.6205675199665928
cat__initial_priority_Blocker - P1,0.6134723105796487,1.8468330560378212,0.6134723105796487
cat__initial_issue_type_PAIN,-0.6059778747886938,0.5455406952289246,0.6059778747886937
cat__initial_priority_Low,-0.555456924273138,0.5738100135639772,0.5554569242731381
cat__initial_issue_type_Sub-task,0.5000173376241182,1.6487498558575937,0.5000173376241182
cat__initial_priority_Major,-0.4946439733288093,0.6097879694349512,0.4946439733288094
cat__initial_priority_Normal,0.4848103043131645,1.623866939071063,0.48481030431316446
cat__initial_issue_type_Bug,0.46921367914908463,1.5987365789308565,0.46921367914908463
cat__initial_issue_type_Feature,-0.45354460325268986,0.6353720137206154,0.4535446032526899
cat__initial_issue_type_Fug,0.43202089359094337,1.540367298629152,0.4320208935909434
cat__initial_issue_type_Test,0.40166682790778285,1.4943133862124038,0.40166682790778285
cat__initial_priority_Minor,-0.377575307603578,0.6855215746533793,0.377575307603578
cat__initial_priority_Critical - P2,0.36323192225879003,1.437969317663723,0.36323192225879003
cat__initial_priority_Trivial,-0.3345306158605682,0.7156739335191258,0.33453061586056815
cat__initial_issue_type_Epic,-0.31461920943167265,0.7300668239061903,0.3146192094316726
cat__initial_priority_Medium,-0.2799353124086574,0.7558326328668529,0.27993531240865743
cat__initial_priority_Critical,-0.19906109040742667,0.8194998282252999,0.19906109040742673
cat__initial_priority_High,0.19816982385906004,1.2191694202979306,0.19816982385906004
cat__initial_priority_Highest,0.1931490994209285,1.213063647123536,0.19314909942092842
cat__initial_priority_Minor - P4,-0.16721276658229206,0.8460195874901556,0.16721276658229212
num__initial_assigned,0.15683585442846557,1.1698035800633602,0.1568358544284655
cat__initial_issue_type_New Feature,-0.1449786666864732,0.8650407470993695,0.14497866668647325
cat__initial_issue_type_Backport,-0.14088792785862256,0.8685866506089815,0.1408879278586225
cat__initial_issue_type_Documentation,-0.1401871624916665,0.8691955393710897,0.14018716249166646
cat__initial_issue_type_Technical task,0.13836100450945388,1.1483900494381025,0.13836100450945388
cat__initial_issue_type_Task,0.11908327606688449,1.1264637218507467,0.11908327606688457
cat__initial_issue_type_Story,-0.10695032704137847,0.8985703065274111,0.10695032704137848
cat__initial_priority_Trivial - P5,-0.10313468109923872,0.9020054822105477,0.10313468109923875
cat__initial_issue_type_Problem Ticket,-0.09382134524208949,0.9104454031151356,0.09382134524208954
cat__initial_priority_Major - P3,0.08853649655870426,1.0925741270786022,0.08853649655870427
cat__initial_priority_Blocker,-0.08602803917528525,0.9175685029953619,0.08602803917528525
cat__initial_issue_type_Feedback,-0.033115369916865534,0.9674269411846749,0.033115369916865506
cat__initial_priority_ ,-0.02824226135692136,0.9721528232087583,0.028242261356921327
cat__initial_issue_type_Improvement,0.015633024834401286,1.0157558598265468,0.015633024834401328
num__created_hour,0.0043059334531153634,1.004315217305,0.004305933453115429
num__created_weekday,-0.002334368421686053,0.9976683540974118,0.0023343684216860032
