repository,project,issues,resolved,unresolved,resolved_rate,censoring_rate
Apache,TOREE,528,411,117,0.7784090909090909,0.2215909090909091
Apache,XALANJ,954,697,257,0.7306079664570231,0.2693920335429769
Apache,VELOCITYSB,9,9,0,1.0,0.0
Apache,JSIEVE,115,100,15,0.8695652173913043,0.13043478260869565
Apache,ACE,539,492,47,0.9128014842300557,0.08719851576994433
Apache,WODEN,243,186,57,0.7654320987654321,0.2345679012345679
Apache,SEDONA,76,52,24,0.6842105263157895,0.3157894736842105
Apache,NUMBERS,179,155,24,0.8659217877094972,0.1340782122905028
Apache,TREQ,21,18,3,0.8571428571428571,0.14285714285714285
Apache,WADI,11,1,10,0.09090909090909091,0.9090909090909091
Apache,LIBCLOUD,1045,593,452,0.5674641148325359,0.4325358851674641
Apache,GEOMETRY,130,122,8,0.9384615384615385,0.06153846153846154
Apache,VELTOOLS,192,185,7,0.9635416666666666,0.036458333333333336
Apache,MRESOLVER,228,197,31,0.8640350877192983,0.13596491228070176
Apache,MJMOD,27,20,7,0.7407407407407407,0.25925925925925924
Apache,TEZ,4347,3259,1088,0.7497124453646192,0.2502875546353807
Apache,THRIFT,5490,4686,804,0.853551912568306,0.146448087431694
Apache,JDO,798,756,42,0.9473684210526315,0.05263157894736842
Apache,INFRA,15777,15663,114,0.9927742916904354,0.007225708309564556
Apache,CB,14007,12862,1145,0.9182551581352181,0.0817448418647819
Apache,TILESSHARED,21,18,3,0.8571428571428571,0.14285714285714285
Apache,FUNCTOR,31,28,3,0.9032258064516129,0.0967741935483871
Apache,HIVEMALL,317,252,65,0.7949526813880127,0.20504731861198738
Apache,GOSSIP,101,74,27,0.7326732673267327,0.26732673267326734
Apache,OMID,217,167,50,0.7695852534562212,0.2304147465437788
Apache,OPENAZ,24,4,20,0.16666666666666666,0.8333333333333334
Apache,QPIDIT,138,97,41,0.7028985507246377,0.2971014492753623
Apache,DI,36,29,7,0.8055555555555556,0.19444444444444445
Apache,JXPATH,197,158,39,0.8020304568527918,0.19796954314720813
Apache,WAVE,446,337,109,0.7556053811659192,0.24439461883408073
Apache,OPENEJB,2046,1672,374,0.8172043010752689,0.1827956989247312
Apache,DAFFODIL,2577,2176,401,0.8443927046953822,0.15560729530461778
Apache,AMQNET,623,570,53,0.9149277688603531,0.08507223113964688
Apache,LANG,1641,1410,231,0.8592321755027422,0.14076782449725778
Apache,ASTERIXDB,2993,2122,871,0.7089876378215837,0.2910123621784163
Apache,SCXML,287,274,13,0.9547038327526133,0.04529616724738676
Apache,NUTCH,2909,2623,286,0.9016844276383637,0.0983155723616363
Apache,ATTIC,198,195,3,0.9848484848484849,0.015151515151515152
Apache,DORMANT,53,23,30,0.4339622641509434,0.5660377358490566
Apache,TSIK,2,1,1,0.5,0.5
Apache,DOXIATOOLS,56,53,3,0.9464285714285714,0.05357142857142857
Apache,EXTCDI,317,310,7,0.9779179810725552,0.022082018927444796
Apache,MODELER,32,24,8,0.75,0.25
Apache,DIR,226,215,11,0.9513274336283186,0.048672566371681415
Apache,JACOB,9,4,5,0.4444444444444444,0.5555555555555556
