repository,project,issues,resolved,unresolved,resolved_rate,censoring_rate,survival_info_score
Mojang,MC,213845,205547,8298,0.9611961935046412,0.0388038064953587,41301.85046701903
Qt,QTBUG,97172,77520,19652,0.7977606717984604,0.2022393282015395,39032.29705000719
Mojang,MCPE,144778,140317,4461,0.9691873074638412,0.0308126925361588,25021.96866755292
Jira,JRASERVER,47225,38678,8547,0.8190153520381154,0.1809846479618846,18183.181569791355
MongoDB,SERVER,58928,52972,5956,0.8989275047515612,0.1010724952484387,17764.013088263586
Jira,CONFSERVER,43910,37290,6620,0.8492370758369392,0.1507629241630608,15713.169985715804
Sonatype,OSSRH,74960,72193,2767,0.9630869797225188,0.0369130202774813,14136.229766101002
Sakai,SAK,43351,39086,4265,0.9016170330557542,0.0983829669442458,12912.983466263713
Apache,HIVE,25731,18516,7215,0.7195989273638801,0.2804010726361198,11559.35430722668
Jira,JRACLOUD,27916,22142,5774,0.7931652099154607,0.2068347900845393,11308.219355849089
Apache,FLEX,35390,31564,3826,0.8918903645097486,0.1081096354902514,10990.871439517432
MariaDB,MDEV,22437,16064,6373,0.715960244239426,0.284039755760574,10119.205008299812
