repository,project,issue_key,project_uid,split
Apache,HIVE,HIVE-25836,Apache::HIVE,train
Apache,HIVE,HIVE-25835,Apache::HIVE,train
Apache,HIVE,HIVE-25834,Apache::HIVE,train
Apache,HIVE,HIVE-25833,Apache::HIVE,train
Apache,HIVE,HIVE-25832,Apache::HIVE,train
Apache,HIVE,HIVE-25831,Apache::HIVE,train
Apache,HIVE,HIVE-25830,Apache::HIVE,train
Apache,HIVE,HIVE-25829,Apache::HIVE,train
Apache,HIVE,HIVE-25828,Apache::HIVE,train
Apache,HIVE,HIVE-25827,Apache::HIVE,train
Apache,HIVE,HIVE-25826,Apache::HIVE,train
Apache,HIVE,HIVE-25824,Apache::HIVE,train
Apache,HIVE,HIVE-25821,Apache::HIVE,train
Apache,HIVE,HIVE-25820,Apache::HIVE,train
Apache,HIVE,HIVE-25819,Apache::HIVE,train
Apache,HIVE,HIVE-25817,Apache::HIVE,train
Apache,HIVE,HIVE-25814,Apache::HIVE,train
Apache,HIVE,HIVE-25813,Apache::HIVE,train
Apache,HIVE,HIVE-25809,Apache::HIVE,train
Apache,HIVE,HIVE-25808,Apache::HIVE,train
Apache,HIVE,HIVE-25806,Apache::HIVE,train
Apache,HIVE,HIVE-25805,Apache::HIVE,train
Apache,HIVE,HIVE-25803,Apache::HIVE,train
Apache,HIVE,HIVE-25802,Apache::HIVE,train
Apache,HIVE,HIVE-25801,Apache::HIVE,train
Apache,HIVE,HIVE-25800,Apache::HIVE,train
Apache,HIVE,HIVE-25799,Apache::HIVE,train
Apache,HIVE,HIVE-25793,Apache::HIVE,train
Apache,HIVE,HIVE-25792,Apache::HIVE,train
Apache,HIVE,HIVE-25790,Apache::HIVE,train
Apache,HIVE,HIVE-25789,Apache::HIVE,train
Apache,HIVE,HIVE-25787,Apache::HIVE,train
Apache,HIVE,HIVE-25786,Apache::HIVE,train
Apache,HIVE,HIVE-25784,Apache::HIVE,train
Apache,HIVE,HIVE-25783,Apache::HIVE,train
Apache,HIVE,HIVE-25782,Apache::HIVE,train
Apache,HIVE,HIVE-25781,Apache::HIVE,train
Apache,HIVE,HIVE-25779,Apache::HIVE,train
Apache,HIVE,HIVE-25778,Apache::HIVE,train
Apache,HIVE,HIVE-25777,Apache::HIVE,train
Apache,HIVE,HIVE-25776,Apache::HIVE,train
Apache,HIVE,HIVE-25775,Apache::HIVE,train
Apache,HIVE,HIVE-25772,Apache::HIVE,train
Apache,HIVE,HIVE-25771,Apache::HIVE,train
Apache,HIVE,HIVE-25770,Apache::HIVE,train
Apache,HIVE,HIVE-25768,Apache::HIVE,train
Apache,HIVE,HIVE-25767,Apache::HIVE,train
Apache,HIVE,HIVE-25766,Apache::HIVE,train
Apache,HIVE,HIVE-25765,Apache::HIVE,train
Apache,HIVE,HIVE-25764,Apache::HIVE,train
Apache,HIVE,HIVE-25758,Apache::HIVE,train
Apache,HIVE,HIVE-25756,Apache::HIVE,train
Apache,HIVE,HIVE-25755,Apache::HIVE,train
Apache,HIVE,HIVE-25753,Apache::HIVE,train
Apache,HIVE,HIVE-25751,Apache::HIVE,train
Apache,HIVE,HIVE-25750,Apache::HIVE,train
Apache,HIVE,HIVE-25748,Apache::HIVE,train
Apache,HIVE,HIVE-25747,Apache::HIVE,train
Apache,HIVE,HIVE-25746,Apache::HIVE,train
Apache,HIVE,HIVE-25745,Apache::HIVE,train
Apache,HIVE,HIVE-25744,Apache::HIVE,train
Apache,HIVE,HIVE-25743,Apache::HIVE,train
Apache,HIVE,HIVE-25738,Apache::HIVE,train
Apache,HIVE,HIVE-25737,Apache::HIVE,train
Apache,HIVE,HIVE-25735,Apache::HIVE,train
Apache,HIVE,HIVE-25733,Apache::HIVE,train
Apache,HIVE,HIVE-25732,Apache::HIVE,train
Apache,HIVE,HIVE-25729,Apache::HIVE,train
Apache,HIVE,HIVE-25728,Apache::HIVE,train
Apache,HIVE,HIVE-25726,Apache::HIVE,train
Apache,HIVE,HIVE-25725,Apache::HIVE,train
Apache,HIVE,HIVE-25724,Apache::HIVE,train
Apache,HIVE,HIVE-25723,Apache::HIVE,train
Apache,HIVE,HIVE-25722,Apache::HIVE,train
Apache,HIVE,HIVE-25720,Apache::HIVE,train
Apache,HIVE,HIVE-25719,Apache::HIVE,train
